Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5084501890,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Josh Hart (42221142),Cam Spencer (42221262),Aaron Gordon (42221147),Jonas Valanciunas (42221413),Darius Garland (42221128),Bennedict Mathurin (42221150),Nic Claxton (42221205),,1. Column A lists all of your contest entries for this draftgroup
5084501891,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Mikal Bridges (42221159),Jaylon Tyson (42221179),Nic Claxton (42221205),Darius Garland (42221128),Bennedict Mathurin (42221150),Mitchell Robinson (42221367),,2. Your current lineup is listed next to each entry (blank for reservations)
5084501892,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Wiggins (42221276),Nikola Jokic (42221043),Darius Garland (42221128),Jaylen Wells (42221259),Nic Claxton (42221205),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5084501893,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),Draymond Green (42221192),Andre Drummond (42221280),Keyonte George (42221092),Bennedict Mathurin (42221150),Darius Garland (42221128),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5084501894,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Darius Garland (42221128),Josh Hart (42221142),Mikal Bridges (42221159),Spencer Jones (42221410),Nikola Jokic (42221043),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),Nic Claxton (42221205),,5. For faster processing only include entries you are changing in the file you upload
5084501895,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Cam Spencer (42221262),Kawhi Leonard (42221051),Noah Clowney (42221229),Nic Claxton (42221205),Darius Garland (42221128),Mikal Bridges (42221159),Mitchell Robinson (42221367),,
5084501896,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Kris Dunn (42221248),Tim Hardaway Jr. (42221289),Aaron Gordon (42221147),Nic Claxton (42221205),Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Keyonte George (42221092),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5084501897,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Cam Spencer (42221262),Kawhi Leonard (42221051),Evan Mobley (42221079),Nic Claxton (42221205),Jose Alvarado (42221418),Bennedict Mathurin (42221150),Darius Garland (42221128),,C,Nikola Jokic (42221043),Nikola Jokic,42221043,C/UTIL,12400,DEN@OKC 03/09/2026 07:30PM ET,DEN,64.66
5084501898,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Terance Mann (42221406),Josh Hart (42221142),Jaylen Wells (42221259),Aaron Gordon (42221147),Nikola Jokic (42221043),Cam Spencer (42221262),Bennedict Mathurin (42221150),Nic Claxton (42221205),,PG,Shai Gilgeous-Alexander (42221045),Shai Gilgeous-Alexander,42221045,PG/G/UTIL,10700,DEN@OKC 03/09/2026 07:30PM ET,OKC,50.97
5084501899,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Wiggins (42221276),Nikola Jokic (42221043),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),Nic Claxton (42221205),,PG,Tyrese Maxey (42221048),Tyrese Maxey,42221048,PG/G/UTIL,10100,PHI@CLE 03/09/2026 07:00PM ET,PHI,49.06
5084501900,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Cam Spencer (42221262),Kawhi Leonard (42221051),Derrick Jones Jr. (42221244),Nic Claxton (42221205),Darius Garland (42221128),Mikal Bridges (42221159),Mitchell Robinson (42221367),,SF,Kawhi Leonard (42221051),Kawhi Leonard,42221051,SF/F/UTIL,9800,NYK@LAC 03/09/2026 10:00PM ET,LAC,46.02
5084501901,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Mikal Bridges (42221159),Jaylon Tyson (42221179),Karl-Anthony Towns (42221074),Darius Garland (42221128),Cam Spencer (42221262),Evan Mobley (42221079),,SG,Donovan Mitchell (42221054),Donovan Mitchell,42221054,SG/G/UTIL,9700,PHI@CLE 03/09/2026 07:00PM ET,CLE,45.58
5084501902,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Donovan Mitchell (42221054),Tim Hardaway Jr. (42221289),Aaron Wiggins (42221276),Nic Claxton (42221205),Cam Spencer (42221262),Bennedict Mathurin (42221150),Kevin Love (42221404),,C,Joel Embiid (42221057),Joel Embiid,42221057,C/UTIL,9600,PHI@CLE 03/09/2026 07:00PM ET,PHI,44.95
5084501903,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Kris Dunn (42221248),Mikal Bridges (42221159),Noah Clowney (42221229),Nikola Jokic (42221043),Darius Garland (42221128),Cam Spencer (42221262),Jaylen Wells (42221259),,PG,James Harden (42221059),James Harden,42221059,PG/G/UTIL,9400,PHI@CLE 03/09/2026 07:00PM ET,CLE,45.91
5084501904,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Jordan Miller (42221369),Mikal Bridges (42221159),Evan Mobley (42221079),Nic Claxton (42221205),Darius Garland (42221128),Josh Hart (42221142),Cam Spencer (42221262),,PG,Jalen Brunson (42221062),Jalen Brunson,42221062,PG/G/UTIL,9100,NYK@LAC 03/09/2026 10:00PM ET,NYK,41.18
5084501905,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Jordan Miller (42221369),Jaylen Wells (42221259),Jaylon Tyson (42221179),Karl-Anthony Towns (42221074),Darius Garland (42221128),Josh Hart (42221142),Nic Claxton (42221205),,PG,Stephen Curry (42221065),Stephen Curry,42221065,PG/G/UTIL,9000,GSW@UTA 03/09/2026 09:00PM ET,GSW,42.91
5084501906,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Terance Mann (42221406),Bennedict Mathurin (42221150),Aaron Gordon (42221147),Day'Ron Sharpe (42221238),Keyonte George (42221092),Jaylon Tyson (42221179),Nic Claxton (42221205),,PG,Jamal Murray (42221068),Jamal Murray,42221068,PG/G/UTIL,8900,DEN@OKC 03/09/2026 07:30PM ET,DEN,44.10
5084501907,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Mikal Bridges (42221159),Jaylon Tyson (42221179),Nic Claxton (42221205),Darius Garland (42221128),Bennedict Mathurin (42221150),Mitchell Robinson (42221367),,PF,Chet Holmgren (42221071),Chet Holmgren,42221071,PF/F/UTIL,8700,DEN@OKC 03/09/2026 07:30PM ET,OKC,35.41
5084501908,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Terance Mann (42221406),Mikal Bridges (42221159),OG Anunoby (42221111),Nic Claxton (42221205),Keyonte George (42221092),Aaron Gordon (42221147),Mitchell Robinson (42221367),,C,Karl-Anthony Towns (42221074),Karl-Anthony Towns,42221074,C/UTIL,8600,NYK@LAC 03/09/2026 10:00PM ET,NYK,41.36
