Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5090212743,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Bub Carrington (42298224),Bilal Coulibaly (42298215),Will Riley (42298181),Jalen Smith (42298194),Nickeil Alexander-Walker (42298039),Paolo Banchero (42297965),Jock Landale (42298400),,1. Column A lists all of your contest entries for this draftgroup
5090212744,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Corey Kispert (42298448),Herbert Jones (42298244),Jalen Johnson (42297962),Jalen Smith (42298194),Ryan Nembhard (42298417),Paolo Banchero (42297965),Jock Landale (42298400),,2. Your current lineup is listed next to each entry (blank for reservations)
5090212745,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Trey Murphy III (42298024),Herbert Jones (42298244),Deni Avdija (42297983),Jalen Smith (42298194),Jeremiah Fears (42298299),Saddiq Bey (42298079),Yves Missi (42298374),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5090212746,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Brandon Williams (42298190),Cam Spencer (42298198),Jalen Johnson (42297962),Jock Landale (42298400),Tre Jones (42298133),PJ Washington (42298137),Derik Queen (42298270),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5090212747,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Trey Murphy III (42298024),Deni Avdija (42297983),PJ Washington (42298137),Nic Claxton (42298146),Jeremiah Fears (42298299),Patrick Williams (42298402),Jalen Smith (42298194),,5. For faster processing only include entries you are changing in the file you upload
5090212748,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Trey Murphy III (42298024),Cam Spencer (42298198),Zion Williamson (42298033),Marvin Bagley III (42298294),Dejounte Murray (42298021),PJ Washington (42298137),Yves Missi (42298374),,
5090212749,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Tre Johnson (42298321),Bilal Coulibaly (42298215),Derik Queen (42298270),Wendell Carter Jr. (42298165),Desmond Bane (42298003),Tristan da Silva (42298157),Paolo Banchero (42297965),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5090212750,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Cedric Coward (42298203),Corey Kispert (42298448),Paolo Banchero (42297965),Jalen Smith (42298194),Tre Johnson (42298321),Kristaps Porzingis (42298172),Desmond Bane (42298003),,PF,Jalen Johnson (42297962),Jalen Johnson,42297962,PF/F/UTIL,10900,ORL@ATL 03/16/2026 07:00PM ET,ATL,50.91
5090212751,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,CJ McCollum (42298062),Nickeil Alexander-Walker (42298039),Dyson Daniels (42298052),Jalen Johnson (42297962),Jalen Smith (42298194),Tre Johnson (42298321),Derik Queen (42298270),Jock Landale (42298400),,PF,Paolo Banchero (42297965),Paolo Banchero,42297965,PF/F/UTIL,9600,ORL@ATL 03/16/2026 07:00PM ET,ORL,42.83
5090212752,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Ryan Nembhard (42298417),Jeremiah Fears (42298299),Corey Kispert (42298448),Jalen Johnson (42297962),Donovan Clingan (42298016),Jalen Suggs (42298049),Paolo Banchero (42297965),Jock Landale (42298400),,PG,Stephen Curry (42297968),Stephen Curry,42297968,PG/G/UTIL,9300,GSW@WAS 03/16/2026 07:00PM ET,GSW,42.91
5090212753,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Tre Jones (42298133),Desmond Bane (42298003),Derik Queen (42298270),Jalen Smith (42298194),Jalen Suggs (42298049),Tristan da Silva (42298157),Goga Bitadze (42298366),,PG/SG,Devin Booker (42297971),Devin Booker,42297971,PG/SG/G/UTIL,9200,PHX@BOS 03/16/2026 07:30PM ET,PHX,40.08
5090212754,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Payton Pritchard (42298098),Jeremiah Fears (42298299),Jalen Green (42298057),Herbert Jones (42298244),Marvin Bagley III (42298294),Jaylen Brown (42297975),Danny Wolf (42298129),Zion Williamson (42298033),,SG/SF,Jaylen Brown (42297975),Jaylen Brown,42297975,SG/SF/F/G/UTIL,9100,PHX@BOS 03/16/2026 07:30PM ET,BOS,46.12
5090212755,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Cedric Coward (42298203),Saddiq Bey (42298079),Derik Queen (42298270),Marvin Bagley III (42298294),Nickeil Alexander-Walker (42298039),Paolo Banchero (42297965),Moritz Wagner (42298425),,PG,Josh Giddey (42297980),Josh Giddey,42297980,PG/G/UTIL,9000,MEM@CHI 03/16/2026 08:00PM ET,CHI,45.27
5090212756,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Cedric Coward (42298203),Dyson Daniels (42298052),Matas Buzelis (42298018),Marvin Bagley III (42298294),Jeremiah Fears (42298299),Bilal Coulibaly (42298215),Nickeil Alexander-Walker (42298039),,SF/PF,Deni Avdija (42297983),Deni Avdija,42297983,SF/PF/F/UTIL,8800,POR@BKN 03/16/2026 07:30PM ET,POR,43.97
5090212757,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Dejounte Murray (42298021),Payton Pritchard (42298098),Tristan da Silva (42298157),Zion Williamson (42298033),Marvin Bagley III (42298294),Desmond Bane (42298003),Derik Queen (42298270),Wendell Carter Jr. (42298165),,PG,Cooper Flagg (42297987),Cooper Flagg,42297987,PG/G/UTIL,8700,DAL@NOP 03/16/2026 08:00PM ET,DAL,38.65
5090212758,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),CJ McCollum (42298062),Jaylen Brown (42297975),Will Riley (42298181),Jalen Smith (42298194),Tre Jones (42298133),Corey Kispert (42298448),Wendell Carter Jr. (42298165),,PF,Jayson Tatum (42297990),Jayson Tatum,42297990,PF/F/UTIL,8600,PHX@BOS 03/16/2026 07:30PM ET,BOS,41.12
5090212759,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Trey Murphy III (42298024),Jeremiah Fears (42298299),Saddiq Bey (42298079),Zion Williamson (42298033),Onyeka Okongwu (42298031),Jalen Green (42298057),Derik Queen (42298270),Marvin Bagley III (42298294),,PG,Ja Morant (42297993),Ja Morant,42297993,PG/G/UTIL,8400,MEM@CHI 03/16/2026 08:00PM ET,MEM,37.51
