Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5083005921,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Keyonte George (42202611),Quentin Grimes (42202759),Kawhi Leonard (42202574),Jalen Johnson (42202569),Jock Landale (42202862),Ty Jerome (42202650),Marjon Beauchamp (42203129),Cam Thomas (42202904),,1. Column A lists all of your contest entries for this draftgroup
5083005922,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Cedric Coward (42202729),Kawhi Leonard (42202574),Jalen Johnson (42202569),Jock Landale (42202862),Cam Thomas (42202904),Marjon Beauchamp (42203129),Nickeil Alexander-Walker (42202618),,2. Your current lineup is listed next to each entry (blank for reservations)
5083005923,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Kawhi Leonard (42202574),Michael Porter Jr. (42202600),Noah Clowney (42202774),Draymond Green (42202718),Bennedict Mathurin (42202645),Dyson Daniels (42202653),Marjon Beauchamp (42203129),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5083005924,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Bogdan Bogdanovic (42203066),Michael Porter Jr. (42202600),Jalen Johnson (42202569),Jock Landale (42202862),Kawhi Leonard (42202574),Kyle Kuzma (42202787),Kevin Huerter (42202893),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5083005925,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Cam Thomas (42202904),Kelly Oubre Jr. (42202680),Michael Porter Jr. (42202600),Jalen Johnson (42202569),Myles Turner (42202725),Dyson Daniels (42202653),Draymond Green (42202718),Kyle Kuzma (42202787),,5. For faster processing only include entries you are changing in the file you upload
5083005926,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Ty Jerome (42202650),Quentin Grimes (42202759),Michael Porter Jr. (42202600),Jalen Johnson (42202569),Jock Landale (42202862),CJ McCollum (42202629),Dyson Daniels (42202653),Marjon Beauchamp (42203129),,
5083005927,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Shai Gilgeous-Alexander (42202560),Cedric Coward (42202729),Kawhi Leonard (42202574),Kyle Kuzma (42202787),Nic Claxton (42202690),Dyson Daniels (42202653),Noah Clowney (42202774),Marjon Beauchamp (42203129),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5083005928,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Tyrese Maxey (42202566),Cam Thomas (42202904),Kyle Kuzma (42202787),Jalen Johnson (42202569),Tolu Smith (42203096),Shai Gilgeous-Alexander (42202560),Kevin Huerter (42202893),Marjon Beauchamp (42203129),,PG,Cade Cunningham (42202557),Cade Cunningham,42202557,PG/G/UTIL,11200,BKN@DET 03/07/2026 06:00PM ET,DET,51.03
5083005929,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Keyonte George (42202611),Svi Mykhailiuk (42202959),Dyson Daniels (42202653),Noah Clowney (42202774),Myles Turner (42202725),Ty Jerome (42202650),Bobby Portis (42202736),Shai Gilgeous-Alexander (42202560),,PG,Shai Gilgeous-Alexander (42202560),Shai Gilgeous-Alexander,42202560,PG/G/UTIL,10800,GSW@OKC 03/07/2026 08:30PM ET,OKC,51.12
5083005930,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Keyonte George (42202611),Svi Mykhailiuk (42202959),Kevin Huerter (42202893),Jalen Johnson (42202569),Myles Turner (42202725),Marjon Beauchamp (42203129),Giannis Antetokounmpo (42202563),Nic Claxton (42202690),,PF,Giannis Antetokounmpo (42202563),Giannis Antetokounmpo,42202563,PF/F/UTIL,10500,UTA@MIL 03/07/2026 08:00PM ET,MIL,50.73
5083005931,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Keyonte George (42202611),Nickeil Alexander-Walker (42202618),Michael Porter Jr. (42202600),Noah Clowney (42202774),Bobby Portis (42202736),Bennedict Mathurin (42202645),Dyson Daniels (42202653),Kevin Huerter (42202893),,PG,Tyrese Maxey (42202566),Tyrese Maxey,42202566,PG/G/UTIL,10400,PHI@ATL 03/07/2026 06:00PM ET,PHI,49.07
5083005932,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Tyrese Maxey (42202566),Kevin Huerter (42202893),Marjon Beauchamp (42203129),Tobias Harris (42202677),Jock Landale (42202862),Ty Jerome (42202650),Bobby Portis (42202736),Shai Gilgeous-Alexander (42202560),,PF,Jalen Johnson (42202569),Jalen Johnson,42202569,PF/F/UTIL,10200,PHI@ATL 03/07/2026 06:00PM ET,ATL,50.55
5083005933,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Keyonte George (42202611),Bogdan Bogdanovic (42203066),Kawhi Leonard (42202574),Jalen Johnson (42202569),Nic Claxton (42202690),Dyson Daniels (42202653),Marjon Beauchamp (42203129),Jock Landale (42202862),,C,Joel Embiid (42202572),Joel Embiid,42202572,C/UTIL,9600,PHI@ATL 03/07/2026 06:00PM ET,PHI,44.95
5083005934,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Tyrese Maxey (42202566),Cedric Coward (42202729),Cam Spencer (42202749),Jalen Johnson (42202569),Myles Turner (42202725),Bogdan Bogdanovic (42203066),Dyson Daniels (42202653),Jock Landale (42202862),,SG/SF,Kawhi Leonard (42202574),Kawhi Leonard,42202574,SG/SF/F/G/UTIL,9500,LAC@MEM 03/07/2026 08:00PM ET,LAC,46.12
5083005935,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Keyonte George (42202611),Cam Thomas (42202904),Michael Porter Jr. (42202600),Giannis Antetokounmpo (42202563),Myles Turner (42202725),Ty Jerome (42202650),Noah Clowney (42202774),Marjon Beauchamp (42203129),,PG,Stephen Curry (42202579),Stephen Curry,42202579,PG/G/UTIL,9000,GSW@OKC 03/07/2026 08:30PM ET,GSW,42.91
5083005936,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Tyrese Maxey (42202566),Cedric Coward (42202729),Michael Porter Jr. (42202600),Giannis Antetokounmpo (42202563),Jock Landale (42202862),Cam Thomas (42202904),Kyle Kuzma (42202787),Marjon Beauchamp (42203129),,PF,Chet Holmgren (42202582),Chet Holmgren,42202582,PF/F/UTIL,8500,GSW@OKC 03/07/2026 08:30PM ET,OKC,35.41
5083005937,NBA $20K Four Point Play [20 Entry Max],188635585,$4,Tyrese Maxey (42202566),Cam Thomas (42202904),Michael Porter Jr. (42202600),Kyle Kuzma (42202787),Myles Turner (42202725),Keyonte George (42202611),Kevin Huerter (42202893),Nic Claxton (42202690),,PG,Ja Morant (42202585),Ja Morant,42202585,PG/G/UTIL,8400,LAC@MEM 03/07/2026 08:00PM ET,MEM,37.51
